STT,Id,Name,Gender,Region,Music,Link,Audio,Time
2,Speaker01,Cosmic Writer,Male,Southern,Yes,https://www.youtube.com/@CosmicWriter,"https://www.youtube.com/watch?v=KJr18wjVyt8
https://www.youtube.com/watch?v=Q5QYQQFcq_4
https://www.youtube.com/watch?v=ZVFxZag8klY
https://www.youtube.com/watch?v=Yk18HvjSMcM&t=1s
https://www.youtube.com/watch?v=gSDnRNEXknM
https://www.youtube.com/watch?v=8ZJQWK5ZjQ4
https://www.youtube.com/watch?v=aCNCfWSBPio
https://www.youtube.com/watch?v=zscchn7M1Sk
https://www.youtube.com/watch?v=Ie4wGPHsiW4
https://www.youtube.com/watch?v=ipw2UoQ0NI4
https://www.youtube.com/watch?v=tFcdx9s1U_k
https://www.youtube.com/watch?v=xXfyXB84q1A
https://www.youtube.com/watch?v=iDRTaQ85JLM
https://www.youtube.com/watch?v=7l6HFHMazgQ
https://www.youtube.com/watch?v=l0x362SBwdI
https://www.youtube.com/watch?v=HGjIHQ4AYJU
https://www.youtube.com/watch?v=r3WgjPJ-XHQ
https://www.youtube.com/watch?v=o8LB9fMcE0Q
https://www.youtube.com/watch?v=jh1HQSJq83o
https://www.youtube.com/watch?v=saiWtNUuvFE
https://www.youtube.com/watch?v=Dh4s0lFPmm0
https://www.youtube.com/watch?v=PqiG_85lUuQ
https://www.youtube.com/watch?v=0j8u0BmJwFQ
https://www.youtube.com/watch?v=FDBCiq5dNP4
https://www.youtube.com/watch?v=1ndC9FcXDfo
https://www.youtube.com/watch?v=xEXbe9nYx68
https://www.youtube.com/watch?v=02_xLNCXGMY
https://www.youtube.com/watch?v=pRiWf62GNik
https://www.youtube.com/watch?v=ka0wXbjyzGk
https://www.youtube.com/watch?v=V89n2WMtGsk","25
22
23
25
34
41
15
25
20
21
23
22
25
16
13
17
18
19
24
13
14
10
10
13
12
12
11
12
12
12"
3,Speaker02,Thuy Yen,Female,Southern,,https://www.youtube.com/@ThuyUyenSachNoi,"https://www.youtube.com/watch?v=sNftdFZ5rBc
https://www.youtube.com/watch?v=vH8gdwuPh5I
https://www.youtube.com/watch?v=X5pLikWtSEo
https://www.youtube.com/watch?v=I_7MjnhwaWM
https://www.youtube.com/watch?v=uLEp2OjYz94
https://www.youtube.com/watch?v=76V8HOPEICE
https://www.youtube.com/watch?v=4M_BTXfyArw
https://www.youtube.com/watch?v=hjyAVlifmQ0
https://www.youtube.com/watch?v=V6YtnQw_Vhs","60
74
71
100
65
71
104
95
152"
4,Speaker03,Sach noi Hay,Male,Northern,,https://www.youtube.com/@SachNoiHaySN,"https://www.youtube.com/watch?v=sX1Dm_HQl5s&t=302s
https://www.youtube.com/watch?v=tL075sDcCFs","444
372"
5,Speaker04,Sach noi Hay,Female,Northern,,https://www.youtube.com/@SachNoiHaySN/videos,"https://www.youtube.com/watch?v=fg1zUBIxgxg&t=1s
https://www.youtube.com/watch?v=Pz4hAjhzh90&t=3s","372
300"
6,Speaker05,Better Version,Female,Northern,,https://www.youtube.com/@betterversionvn,"https://www.youtube.com/watch?v=yZrvuX2rrNk&t=5s
https://www.youtube.com/watch?v=BFJrxuBc2ps
https://www.youtube.com/watch?v=zURUyZ-_1T4
https://www.youtube.com/watch?v=T8Tzg-GkhAo&t=39s
https://www.youtube.com/watch?v=IoghpKkegEI
https://www.youtube.com/watch?v=nPu9QX5Z-pE&t=20s
https://www.youtube.com/watch?v=WnhhO06xMdo&t=769s
https://www.youtube.com/watch?v=UaOANMJ5SrU
https://www.youtube.com/watch?v=4Mp9KucEjbs
https://www.youtube.com/watch?v=OAXmauDtnl8
https://www.youtube.com/watch?v=cB7MEeeV4q0&t=333s
https://www.youtube.com/watch?v=KErjWaK4fvQ
https://www.youtube.com/watch?v=aO-iS4GSN8o
https://www.youtube.com/watch?v=6Q3wEqcyyEM
https://www.youtube.com/watch?v=IdkP0md9dxo
https://www.youtube.com/watch?v=DK8ixJ8MeI4
https://www.youtube.com/watch?v=KErjWaK4fvQ
https://www.youtube.com/watch?v=Q47mZHlw4xU
https://www.youtube.com/watch?v=1jlHEYRWg6I
https://www.youtube.com/watch?v=5IfGwhdBV5s
https://www.youtube.com/watch?v=8ZcznzM_908
https://www.youtube.com/watch?v=QB7_9BDITXs
https://www.youtube.com/watch?v=yn-_TnkY0yw
https://www.youtube.com/watch?v=tlE_OLKU3g0
https://www.youtube.com/watch?v=ryRBFmn6b0c
https://www.youtube.com/watch?v=C5UDsNOEv4Q
https://www.youtube.com/watch?v=fpcVMNYIYsc
https://www.youtube.com/watch?v=SVEHb5UCaFA
https://www.youtube.com/watch?v=Z43_i13E7kE
https://www.youtube.com/watch?v=s-GKuiTPGY8
https://www.youtube.com/watch?v=lXNX2hEbdhI
https://www.youtube.com/watch?v=4O3Cs7lGqaA","17
11
15
15
20
19
15
33
17
27
30
27
17
12
22
21
26
11
11
12
10
9
10
11
23
21
20
12
18
10
12
24"
7,Speaker06,Duy Thanh Nguyen,Male,Northern,,https://www.youtube.com/@duythanhish,"https://www.youtube.com/watch?v=jpIsjixls4k&t=7s
https://www.youtube.com/watch?v=V8YJw782ejM
https://www.youtube.com/watch?v=Ngj4nRUzr3E
https://www.youtube.com/watch?v=XxAZwAVeCMk
https://www.youtube.com/watch?v=0hJlVqNrnIo
https://www.youtube.com/watch?v=5Ru47uzaetQ
https://www.youtube.com/watch?v=h2AF8Y5AKbo
https://www.youtube.com/watch?v=gaHK7zJ50BI
https://www.youtube.com/watch?v=skbGmlY6ua8
https://www.youtube.com/watch?v=-KN8HuBXD64
https://www.youtube.com/watch?v=8m-99Mu5TUk
https://www.youtube.com/watch?v=WNoL2krv15w
https://www.youtube.com/watch?v=O6VVAZDFI7c&t=39s
https://www.youtube.com/watch?v=VikDfMrNs-8
https://www.youtube.com/watch?v=k5x47tcE-oE
https://www.youtube.com/watch?v=X0mO6fxjjuQ
https://www.youtube.com/watch?v=Xi3u6IkuzUQ&t=231s
https://www.youtube.com/watch?v=csPULYgl6qs
https://www.youtube.com/watch?v=ptJBSM7TWFI
https://www.youtube.com/watch?v=fAOHvnP3J7I&t=32s
https://www.youtube.com/watch?v=RRzQZuxPzlY
https://www.youtube.com/watch?v=6HP5mg91ETU
https://www.youtube.com/watch?v=7xuKwIa5x9Q
https://www.youtube.com/watch?v=sNvO6MLoS0M&t=59s
https://www.youtube.com/watch?v=00csE9y9jLE
https://www.youtube.com/watch?v=T8rtvR022D8
https://www.youtube.com/watch?v=GyDLC_PaEEI
https://www.youtube.com/watch?v=OTwiERo_xKc
https://www.youtube.com/watch?v=2XWzYmLfPYw","15
15
9
16
23
34
28
29
19
12
18
8
18
21
16
20
11
32
43
17
12
18
39
28
28
23
18
22
20"
8,Speaker07,Present Writer,Female,Northern,No,https://www.youtube.com/@ThePresentWriter,"https://www.youtube.com/watch?v=yTelDKHi-Ik
https://www.youtube.com/watch?v=CgAoAVibKp8
https://www.youtube.com/watch?v=dPjTSeNk2R0
https://www.youtube.com/watch?v=4P70l7SOMUU
https://www.youtube.com/watch?v=NPPZJEoQWq0
https://www.youtube.com/watch?v=kd0dzs1FQcY
https://www.youtube.com/watch?v=sDs9itZjdl4
https://www.youtube.com/watch?v=xmFfMg1mGEs
https://www.youtube.com/watch?v=fTi-MKQZkcI
https://www.youtube.com/watch?v=XNHp9RPXvnw
https://www.youtube.com/watch?v=EzCAGzZjJeU
https://www.youtube.com/watch?v=8yTXMIsl3j4
https://www.youtube.com/watch?v=fXy3dtTgjIU
https://www.youtube.com/watch?v=45y0GBxHd2w
https://www.youtube.com/watch?v=EUdPJUJT-a4
https://www.youtube.com/watch?v=EkQW58kmAUs
https://www.youtube.com/watch?v=lRdnd-K-T_8
https://www.youtube.com/watch?v=DS0UJpnkGCA
https://www.youtube.com/watch?v=wtTci0V1ckk
https://www.youtube.com/watch?v=KY90cJAAEbY
https://www.youtube.com/watch?v=GFWwIe6uN00
https://www.youtube.com/watch?v=7tHSR8sag2I
https://www.youtube.com/watch?v=cMtnOqkqso8
https://www.youtube.com/watch?v=ekCiD4Li7K4
https://www.youtube.com/watch?v=twH1X6MUxqg
https://www.youtube.com/watch?v=PwhnUN3I7Zw","10
14
14
14
13
14
11
46
16
21
26
25
25
19
19
26
17
25
34
22
35
28
34
30
38
48"
9,Speaker08,tatthao nguyen,Female,Southern,No (From 18:40),https://www.youtube.com/watch?v=niW3-Vx5vlw,"https://www.youtube.com/watch?v=niW3-Vx5vlw",600
10,Speaker09,Centrio Book,Male,Southern,No,https://www.youtube.com/watch?v=bvGTYjVuPV0,"https://www.youtube.com/watch?v=bvGTYjVuPV0",700
11,Speaker10,Doc sach dem khuya,Male,Northern,No (From),https://www.youtube.com/@Audiokechuyendemkhuya,"https://www.youtube.com/watch?v=cI0AhEFWP5E
https://www.youtube.com/watch?v=J1CN_pHf8pQ
https://www.youtube.com/watch?v=Ph1qQOr-a04
https://www.youtube.com/watch?v=__lmJIO4ECg
https://www.youtube.com/watch?v=yYPdsgB3UL8
https://www.youtube.com/watch?v=U6LKxKsmbGo
https://www.youtube.com/watch?v=AiJ46WMt1eI
https://www.youtube.com/watch?v=3ZAzXXSusZ0
https://www.youtube.com/watch?v=aTR8lpFeX_k","72
64
110
122
61
55
46
52
41"
